k,Class 0,Class 1,Class 2
1,0.9727824170920147,0.9356450832924699,0.9450523986127239
2,0.9727824170920147,0.9356450832924699,0.9450523986127239
3,0.9841245972073039,0.9470772459604294,0.9436183049473928
4,0.9847258687258688,0.9428679191374538,0.9418410911012135
5,0.9831099691338524,0.9474798856755061,0.9431311015190129
10,0.9800189329601094,0.959176026575028,0.966723792353083
20,0.982870982870983,0.966973577825423,0.9703157559450466
25,0.9773162302574068,0.9575713039187381,0.966612052241343
30,0.9757100006646287,0.9596598932116818,0.9703157559450466
35,0.974026424026424,0.9571249088162321,0.9672905458610129
40,0.9714758643386533,0.959876050065749,0.9697246229401205
50,0.9555438009804403,0.9356409559532228,0.9667092475109518
